check,quantity,relation,threshold,required,status,decides,reason,note
scope,descendant-tolerant cross-entropy on the Stage 1b nesting graph,,,1,NOT BUILT - blocked by section 7 gap 2 (H2),deferred,"the design says outright: do not rely on the descendant-tolerant loss until nesting is re-tested. Stage 1b's nesting layer missed ALL THREE cases declared for it - nest_tcell, nest_treg, nest_tumour_ki67; two found no edge and one merged instead","a loss built on an untrusted parent/child graph would silently reward wrong predictions, and the failure would look like a modelling result rather than a graph defect. Stage 6 ships PLAIN targets. This is a deferral, not a rejection: re-test the nesting layer and the loss can be added without touching anything else"
scope,neighbourhood-context auxiliary loss (one of the planned four),,,1,"was: NOT BUILDABLE - Stage 4 deferred (D-18). REPLACED 2026-09-17 - Stage 4 has since been built and run (train_spatial_context.py, gate4_expect.csv check 4); this row's premise ""Stage 4 deferred"" no longer holds. The loss is still NOT wired into Stage 6 - see the Stage 6 report",removed from the ablation,"it predicts a cell's spatial neighbourhood, which requires z_neigh from Stage 4. Stage 4 is deferred by user decision, so this loss has no input and cannot be written at all","THIS CHANGES THE DECLARED ABLATION. The design says 'train with 2 losses and with all 4'. Only THREE exist on the current roster: cell-type, masked-marker, VICReg. The ablation is therefore 2 vs 3 and is reported as such rather than quietly renumbered"
scope,domain-adversarial term (gradient reversal) - ORIGINAL 5+1-roster exclusion,,,1,REPLACED 2026-09-13 - see check 3b,superseded,"this row's own note said 'if Stage 3b changes that verdict, this row is revisited and the change is dated'. Gate 3 re-run 2026-09-12 on the 7-cohort fold-local roster with patient splits (plan F3/F4) OVERTURNS D-36 ON THIS ROSTER: lambda=0.01 beats lambda=0 by +0.036 LOCO macro-F1, winning 6 of 7 folds (reports/s3_encoder.md). The old 5+1-roster sweep (no lambda beat 0) stays true for its own roster and is not erased - it just no longer describes this one","kept, not deleted, per the project rule that a replaced row is marked REPLACED with the old evidence intact. Gate 3's shipped lambda is now wired into Stage 6 as an ablation arm - check 3b below - rather than assumed to transfer untested"
scope,"why the adversary is wired in as ONE MORE candidate loss, not adopted outright",,,1,Declared 2026-09-13,scope,"Gate 3's linear head and Stage 6's prototype head are not the same model - a gain measured on one head is not guaranteed on the other, and Gate 6's own discipline (check 3) already requires every extra loss to earn its place ON THIS STAGE'S OWN ENCODER before it ships","recipe copied verbatim from Gate 3 (D-16 cohort_frac=0.1, D-37 deep_slide=False, 5-epoch ramp) so a difference in outcome is attributable to the head, not to a re-tuned adversary"
1,every auxiliary log-sigma at the last epoch minus its value at epoch 0,<=,3.0,1,Accepted,PASS/FAIL,"Kendall uncertainty weighting is free to switch a loss OFF by driving its sigma up - the weight is 1/(2 sigma^2), so a runaway sigma silently deletes the term while training still looks healthy. A cap makes that visible instead of invisible","reported as a trajectory per auxiliary loss, not just the endpoint. The CELL-TYPE sigma is PINNED at 1.0 and not learned - noisy labels look 'uncertain' to Kendall weighting, and that is the one task that must not be switched off"
2,minimum pairwise prototype distance at any epoch,>,0.5 x its value at initialisation,1,Accepted,PASS/FAIL,"learnable prototypes can silently merge two classes. Macro-F1 over classes PRESENT IN THE TRUTH does not necessarily expose it, so the guard has to watch the prototypes directly","when a pair breaches the floor it is FROZEN and logged rather than the run being aborted - a merge is a finding about the label space, not necessarily a bug. Frozen pairs are listed in the report with their cluster names"
2,agreement between the trained prototypes' nearest-cluster assignment and Stage 1b's clustering,,,0,Accepted,diagnostic only,"prototypes are learnable precisely so the protein data can correct Stage 1b. Where the model moved a prototype a long way, it is disagreeing with the clustering - that disagreement is a finding and is reported per cluster","no threshold: there is no principled prior for how much correction is right. Reported as a table of the largest movers with their cluster names, so a reviewer can judge whether the model or Stage 1b is wrong"
3,LOCO macro-F1 with 3 losses minus LOCO macro-F1 with 2 losses,>,0.0,1,Accepted,which losses ship,the extra auxiliary losses are kept ONLY if they earn it. 2 losses = cell-type + masked-marker; 3 = plus VICReg. If VICReg does not improve validation macro-F1 it is dropped and that is reported,"the design's word is 'keep the extra only if they improve validation macro-F1'. Scored LOCO over the training cohorts with the stroma waiver honoured (D-32), the same quantity Gate 3 and Gate 7 use, so the three gates are comparable"
3b,LOCO macro-F1 with the 2-loss configuration plus the domain-adversarial term (lambda=0.01) minus LOCO macro-F1 with 2 losses alone,>,0.0,1,Declared 2026-09-13,which losses ship,"same ablation discipline as check 3, applied to the row this file marks REPLACED above. lambda=0.01 is Gate 3's shipped value on THIS roster (7-cohort, fold-local, patient split), not re-swept here - re-sweeping on Stage 6's own head is future work, not this run","compared against the 2-loss arm specifically (not against whichever of 2/3 losses check 3 ships), so the adversary is judged on a ceteris-paribus change - one thing different, same as check 3's own framing. The overall ship configuration is whichever of the three measured arms (2 losses / 3 losses / 2+adversary) scores highest; an untested combination (e.g. 3 losses + adversary) is not assumed and not shipped"
4,LOCO macro-F1 of the shipped Stage 6 model minus the SAME encoder with Stage 3's plain linear head,>=,0.02,1,Accepted,PASS/FAIL,"this is the row that asks whether Stage 6 earned its existence. The prototype loss, the collapse guard and the sigma weighting are the entire stage; if they do not beat a plain linear head on the same encoder, they are complexity without payment","the linear-head control is RE-MEASURED INSIDE THIS RUN, not read from Gate 3's report. Gate 3 ran on an 88-triple vocabulary before D-39 fixed it, so its 0.3642 is not comparable to anything produced afterwards. Same pattern as Gate 2's core-9 control (D-27): measure the baseline in the same run or the comparison changes two things at once"
5,per-fold LOCO macro-F1,,,0,Accepted,diagnostic only,"Gate 3 found CRC to be the WORST fold at 0.2770 despite being the largest cohort with the second-richest panel, which points at class imbalance or label granularity rather than batch (H7). Stage 6's class-balanced sampling and prototype loss are the first things that could move it","reported per fold against Gate 3's per-fold numbers where the vocabulary allows. If CRC does not move, H7 stays open and the cause is elsewhere"
6,cells weighted by label confidence,,,0,was: Accepted. REPLACED 2026-09-17 - see check 6-v2 (D-45: this version was a no-op),diagnostic only,"UPMC ships kNN.prob from 0.14 to 1.0. The other four training cohorts report a constant 1.0, so this is 1-OF-5 COVERAGE and cannot be a headline",reported as an on/off comparison on the UPMC fold alone. Stated explicitly in the report so it is not mistaken for a roster-wide effect
6-v2,"LOCO macro-F1 of the 2-loss arm with confidence weighting minus the same arm without it, paired per fold",,,0,"Declared 2026-09-17, before the fresh run",diagnostic only,"REPLACES check 6, which ran confidence-off on the UPMC fold ALONE - the one fold where UPMC, the only cohort with a real confidence (kNN.prob 0.14-1.0; the other six cohorts carry a constant 1.0), is HELD OUT. No training cohort had a confidence there, so both arms were the same computation and 0.4251 = 0.4251 was reported as a finding (D-45, named in gate4_expect.csv check 8). The switch can only matter on a fold where a cohort WITH a confidence trains, so the arm now runs on exactly those folds (6 of 7 on this roster)","paired against proto2 (2 losses, the shipped configuration), not proto3 as the old row was - one thing different. Reported as mean difference, paired 95% CI and exact sign-flip p over the folds. The run ASSERTS the two arms end with different weights on every fold; identical weights raise instead of printing a zero. required=0: it never changes what ships"
