check,quantity,relation,threshold,required,status,decides,reason,note
metric,LOCO L2 macro-F1 over the hand mapping's 10 L2 classes,,,1,REPLACED by D-31 before any scored run,superseded,"declared first: ""this alone decides"". Pick the lambda that maximises it","REPLACED, NOT DELETED. Not computable on this roster. L2 comes from _validation/hand_mapping_reference.csv, which covers 4 cohorts (CRC, Keren, UPMC, ferguson) - and ferguson is the frozen holdout. So L2 exists for only 3 of the 5 TRAINING cohorts: Phillips and Sorin have no L2 ground truth at all, and Sorin is the panel-mismatch stress test. A metric that cannot be computed on 2 of 5 folds cannot decide a 5-fold gate"
metric,LOCO macro-F1 over STAGE 1b's 25 CLUSTERS with the stroma waiver honoured,,,1,Accepted (D-31 + D-32),the lambda decision,"the 25 clusters are the pipeline's actual output space, cover all 106 labels and all 5 folds, and keep the decision off the hand mapping - which D-4 says survives only as a test set","the 3 clusters flagged unreliable=1 in work/label_map.csv (2, 16, 18; 420,862 cells, 8.5% of the roster) are excluded from the headline and reported separately, so Gate 3's number is comparable with Gate 7's (D-32). L2 still reported as a secondary column marked 3-of-5 coverage"
probe,"retained slide bits from a fresh probe scored on HELD-OUT SLIDES",,,1,REPLACED by D-35 before any scored run,superseded,"declared first: ""freeze the encoder, train a new discriminator from scratch, score on slides it never saw""","REPLACED, NOT DELETED. Structurally impossible, and the replacement for the already-defective D-15 metric repeats D-15's error. The probe is an N-way SLIDE classifier; holding out slide IDs asks it to name classes it never saw one example of, so it can never be right. Measured on the smoke folds: fresh_acc exactly 0.000000 on 4 of 4 (chance on 751 slides is 0.13%, so exact zero is structural), fresh_bits -28.5 against a ceiling of log2(751) = 9.55, a value the quantity cannot take. The co-trained column carried the same defect more gently (-0.4 to -0.7) because slide_split makes train and val slides disjoint"
probe,"retained slide bits from a fresh probe trained and scored on DISJOINT CELLS OF THE SAME SLIDES, full slide vocabulary",,,1,Accepted (D-35),diagnostic only - never the decision,"""fresh"" means freshly initialised and never adversarially trained, which is the actual protection against the encoder hiding information from one particular discriminator rather than removing it. Held-out CELLS still test generalisation: if the probe recovers slide identity from cells it never saw, the signature is genuinely in z_cell","retained_bits = log2(N_slides) - CE_bits, 0 at chance, scale-free across lambda (D-15). Reported absolutely and as a fraction of the lambda=0 value. Needs a 4th cell draw (sprobe) taken from the TRAIN slides and held out of the training draw"
1,mean LOCO macro-F1 of the shipped lambda minus the same quantity for a MAJORITY-CLASS predictor,>=,0.05,1,Accepted,PASS/FAIL,"the encoder must have learned something transferable. A cross-cohort classifier that cannot beat 'always predict the commonest training cluster' has not earned the stage","both baselines are computed inside the same run on the same folds and the same waiver, so the comparison needs no external number and no guessed threshold. A random-uniform baseline is reported alongside"
1,mean LOCO macro-F1 of the shipped lambda minus the same quantity for a RANDOM-UNIFORM predictor,>,0.0,1,Accepted,PASS/FAIL,"a floor below the majority test, kept because macro-F1 can favour a random predictor over a majority one when classes are very unbalanced - so passing only the majority test is not sufficient on its own",reported per fold as well as on the mean
2,lambda selection rule,argmax,,1,Accepted,which lambda ships,"pick the lambda maximising mean LOCO macro-F1 over the 5 folds. Ties break to the SMALLER lambda - a weaker adversary is the simpler model and the plan's stated fallback direction","FALLBACK declared in the plan and kept: if no lambda beats lambda=0, ship lambda=0 and say so plainly. A working model beats a broken idea. This is a selection rule, not a threshold - it cannot fail, it can only choose"
3,retained slide bits across the lambda grid,decreasing,,0,Accepted,diagnostic only,"a monotone fall is what a working adversary looks like. If bits do not fall as lambda rises, the gradient reversal layer is not doing anything and the sweep is measuring noise","NOT a pass/fail. D-15 exists precisely because an unreachable adversary threshold could fail an adversary that was working. Reported absolutely and as a fraction of the lambda=0 value"
4,cohort-head accuracy on the training cohorts' held-out slides,>=,1.5x chance,1,Accepted (D-16),"INVERTED GUARD - a WARNING if it FAILS low",read backwards from every other check in this project. Cohort is confounded with tissue on this roster (colorectal, head&neck, breast, lung, skin x2), so an embedding that cannot tell the cohorts apart cannot tell colon from lung either - and colon and lung tumour cells genuinely differ. Falling to chance is destruction of biology being reported as success,"chance is 1/n_cohort where n_cohort is the 4 training cohorts left in each LOCO fold, so 0.25 and the guard sits at 0.375. Scored on the training cohorts because the held-out cohort has no class in that head. The cohort head carries only COHORT_FRAC = 0.1 of lambda for the same reason"
5,co-trained retained bits minus fresh-probe retained bits,,,0,Accepted,diagnostic only,"a large gap means the adversary is HIDING slide information from the discriminator it trained against rather than REMOVING it - the encoder found a direction that one discriminator was not looking in. Invisible with either number alone, which is why both are reported","no threshold declared: the size of an acceptable gap is not knowable in advance on this roster. Reported side by side per lambda so the trend is auditable"
6,L2 macro-F1 on the held-out cohort,,,0,Accepted (D-31),secondary column only,"the plan's original metric, kept as a report line so the switch to clusters is auditable rather than a quiet substitution","3-of-5 coverage: CRC, Keren and UPMC only. Phillips and Sorin have no L2 truth. Predicted cluster is mapped to L2 by majority vote within the HELD-OUT cohort's own hand mapping - which reads the hand mapping as a TEST SET exactly as D-4 permits, never as training signal. Never decides anything"
