check,quantity,relation,threshold,required,status,decides,reason,note
0,training roster asserted at run time,==,7 cohorts and no holdout,1,Declared 2026-09-06,ASSERT,"the roster used to be derived as [c for c in available() if role=='train'], which depends on WHICH PARQUET FILES ARE ON DISK rather than on the data (H14/D-39). Stage 9 wrote Danenberg's table and silently turned a 5-cohort run into a 6-cohort one with nothing in the log","the list is pinned as a literal in s4_spatial.py and asserted, and the assertion is PRINTED IN THE REPORT, not just the log. Same pattern as gate 7 check 0"
1,LOCO macro-F1 of arm `neigh` minus arm `cell`,>,0.0,1,Declared 2026-09-06,PASS/FAIL,"the whole question of the stage: does a cell's spatial neighbourhood improve cross-cohort transfer. `cell` is z_cell only and is RE-MEASURED INSIDE THIS RUN rather than read from Gate 6's report - the vocabulary is now 109 triples and the roster 7 cohorts, so Gate 6's 0.3901 is not comparable to anything produced here (same discipline as D-27's core-9 control and Gate 6 check 4)","scored over the reliable clusters with the stroma waiver honoured, 7 LOCO folds"
2,LOCO macro-F1 of arm `neigh` minus arm `shuffle`,>,0.0,1,Declared 2026-09-06,PASS/FAIL,"THE CONTROL THE DESIGN NAMES BY NAME (files/05 4.8): 'the third must fall back toward the first. If shuffling does not hurt, the spatial gain is not spatial - it is leakage'. `shuffle` permutes each cell's neighbour list with another cell's FROM THE SAME IMAGE, so the neighbourhood is still real tissue from the same slide and only the CORRESPONDENCE is destroyed","permuting within the image and not across it matters: across images the control would also destroy slide identity and would then be testing two things at once. MUST NOT BE DROPPED for time - without it check 1's margin means nothing"
2b,arm `shuffle` falls back toward arm `cell`,<,"abs(shuffle - cell) < (neigh - cell)",1,Declared 2026-09-06,PASS/FAIL,"the second half of the same control. A shuffled neighbourhood should be worth roughly nothing, so `shuffle` should land near `cell`. If `shuffle` beats `cell` by as much as `neigh` does, the gain is coming from extra parameters or from image-level statistics, not from which cells are actually adjacent","reported as three numbers on one line so the ordering cell <= shuffle < neigh can be read directly"
3,paired per-fold difference (neigh - cell) with a 95% CI and a paired test,,,1,Declared 2026-09-06,reported beside checks 1 and 2,"NO GATE IN THIS PROJECT HAS EVER BEEN SCORED WITH A CONFIDENCE INTERVAL (H9), and the one time the tests were run retrospectively they did not survive: Gate 6 check 4 PASSED its declared +0.02 with p = 0.460 and a CI four times the margin, all of it from a single fold (D-44). Declaring the interval as part of the rule is the cheapest possible fix and it costs no extra compute","7 folds instead of 5 makes this less underpowered than every earlier gate, but it is still n=7 - report the interval and the per-fold table, and do NOT write 'spatial context improves transfer' if the interval spans zero, whatever the mean says"
4,LOCO macro-F1 of arm `ctx` minus arm `neigh`,>,0.0,0,Declared 2026-09-06,whether the 4th loss ships,"the neighbourhood-context auxiliary loss predicts the pooled neighbourhood profile from z_cell alone. It could not be written before this stage existed (D-40), which is why gate6_expect.csv records the declared '2 vs 4 losses' ablation as having been RUN AS A 2 vs 3. This makes it a real 2 vs 4 for the first time","required=0: it is an extra loss, not the stage. If the week runs short this is the FIRST arm to drop"
5,verdict of check 1 under UPMC px_um scaled by 1.3 and by 0.77,==,unchanged,1,Declared 2026-09-06,PASS/FAIL,"M4: UPMC's px_um is recorded as 'ASSUMED - not published anywhere; same CODEX vendor stack as CRC'. Stage 4 is the ONLY stage that ever uses physical distance, so an assumption that was harmless everywhere else becomes load-bearing here","the edge vector already carries d_rel = d / (image median nearest-neighbour distance), which is invariant to a wrong global scale. This check proves that rather than asserting it. 2 extra fits on the UPMC fold only"
6,every neighbour shares its cell's image_id,==,100%,1,Declared 2026-09-06,ASSERT,"all coordinate frames are image-local (files/02 2.2) and CRC's are tile-local. A kNN built across images would join cells that are not neighbours at all and would silently manufacture a spatial signal","asserted at build time, per cohort, on every edge"
7,median neighbour distance per cohort,in,10-30 um,1,Declared 2026-09-06,ASSERT,"measured before the build: mean inter-cell spacing is 11.0-20.0 um across the 7 cohorts. A median edge far outside that range means the graph was built on the 40k SUBSAMPLE instead of the full raw table - which would put the median near 79 um for UPMC and would be the single easiest way to get this stage silently wrong","the sidecar is built from work/raw/*.parquet (every cell) and indexed back to the 40k target cells. This assert is what proves that happened"
8,arm `shuffle` inputs are not bit-identical to arm `neigh`,!=,identical,1,Declared 2026-09-06,ASSERT,"GATE 6 CHECK 6 PRINTED A REAL-LOOKING 0.0000 BECAUSE ITS TWO ARMS WERE SECRETLY THE SAME COMPUTATION (D-45) - confidence-on vs confidence-off was tested on the one fold where the only cohort with a confidence was held out. A check whose two arms could be identical must assert that they are not","cheap and general. Also assert the permutation is a genuine derangement on at least 99% of cells - a permutation that happens to be near-identity would be the same failure wearing a different hat"
